;ID_chantier;CI;Client;Zone_km;Statut;Date_installation;Adresse;latitude;longitude
1870;414;022X.DV119210;BBCSO/CO/ORLS;0 à 50 km;Archivé;02/09/2019;55 BOULEVARD GUY MARIE RIOBE, 45000 ORLEANS;47,9130248;1,908926
1872;405;022X.118360;BBCSO/CO/ORLS;0 à 50 km;Archivé;15/07/2019;Rue du Président Robert Schuman , 45100 ORLEANS;47,8697211;1,9132141
1875;308;116510;BBCSO/CO/ORLS;0 à 50 km;Archivé;01/09/2017;12 rue Jousselin, 45000 Orleans;47,9018334;1,9316139
1883;1425;BZNX.225185;HAS/HAS REHA;0 à 50 km;Archivé;05/11/2018;6 AVENUE GUY MOQUET, 94310 ORLY;48,741755;2,3918728
1885;560;223041;BZ/GCI;Zone IDF 0 à 50 km;Archivé;15/06/2017;Avenue de l'Union (Hall 1 Orly ouestt), (En face du parking P2), 94390 PARAY VIEILLE POSTE;48,714;2,3628
1888;740;BZNX.221121;BZ/BAT;Zone IDF 0 à 50 km;Archivé;12/02/2018;Rue Christophe Colomb, 94310 ORLY;48,7507254;2,4177249
1889;2676;Z32X.222135;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;Zone IDF 0 à 50 km;Traité;01/10/2021;103 AEROGARD SUD, 94310 ORLY;48,7479;2,3925
1890;255;PC0066;CPI/CPI;Zone IDF 0 à 50 km;Archivé;17/02/2016;Avenue de l'Union, 94310 Orly;48,7311123;2,3722011
1891;3251;Z32X.PO0186;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Traité;22/08/2022;Rue D'Italie, Viaduc départ 123, 94310 Paray Vieille Poste;48,7479;2,3925
1894;1903;024X.QUI PBE20A;BBGO/NormPIC/Beauvais;51 à 100 km;Archivé;02/03/2020;Vieux Chemin de Coye, En face du numéro 22, 60560 ORRY LA VILLE;41,6387;-88,4438
1900;2887;548X.F2272C;BYES;51 à 100 km;Traité;01/12/2021;11 rue Jean ZAY, 45000 ORLEANS;47,9104366;1,9529425
1902;2;BCA701;BBGO/NormPIC/Caen;101 à 150 km;Archivé;22/05/2017;99 Rue Gambetta, 14150 Ouistreham;49,2807788;-0,2600652
1903;3406;570X.TOA998;TP RF/TPRF ONE;101 à 150 km;Traité;12/12/2022;Route de la pointe du siège - Deversoire du maresquier, 14860 AMFREVILLE;42,5966;-76,8339
1904;2700;020X.612020;BBSE/HR/HR RAAU;0 à 50 km;Traité;01/05/2023;83-85 Rue Claude Michel, 69600 OULLINS;45,7179484;4,8042147
1905;1369;EXTX.931440913;T2A;Zone IDF 0 à 50 km;Traité;30/01/2017;16 rue de Choisy, 94400 VITRY SUR SEINE;48,7853823;2,3998902
1910;3267;Z32X.O2302300;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Archivé;16/07/2022;7 Av. Nicéphore Niépce, 78180 MONTIGNY LE BRETONNEUX;48,7943976;2,0479924
1911;1401;B11X.PE0108;REP/REP;Zone IDF 0 à 50 km;Archivé;06/07/2020;16 rue DUPHOT, 75001 PARIS 01;48,8592;2,3417
1912;964;S17X.PE0095;REP/REP;0 à 50 km;Archivé;01/06/2018;41 Rue CAMBON, 75001 PARIS 01;48,8592;2,3417
1914;1068;S21X.PE0098;SBI;Zone IDF 0 à 50 km;Archivé;01/09/2018;67-73 Rue de RIVOLI , 75001 PARIS 01;48,8592;2,3417
1915;635;PE0070;REP/REP;Zone IDF 0 à 50 km;Archivé;01/09/2016;52 rue du louvre, 75001 Paris;48,8651021;2,3431257
