;ID_chantier;CI;Client;Zone_km;Statut;Date_installation;Adresse;latitude;longitude
2172;3462;EXTX.443682;COLAS/COLAS;0 à 50 km;Traité;01/12/2022; rue des blanchisseurs , 92400 COURBEVOIE;48,8884021;2,2525489
2175;4088;024X.BBR23C;BBGO/OUEST/Brest;201 à 250 km;Traité;06/05/2024;1 Av. Alexis de Rochon, 29280 PLOUZANE;48,3615593;-4,5645041
2176;2988;B09X.PH0049;HAS/HAS REHA;Zone IDF 0 à 50 km;Traité;01/07/2022;97 Rue de Villiers, 78300 POISSY;48,9237309;2,0285592
2177;758;Z32X.PO0125;IEP/IEP;Zone IDF 0 à 50 km;Archivé;01/02/2018;10 rue du Champs gaillard, 78300 POISSY;48,929;2,0495
2179;1084;B33X.PR0182;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;01/06/2018;Rue de la Libération, 78300 POISSY;48,9268168;2,0418158
2180;3622;EXTX.467259;COLAS/COLAS;0 à 50 km;Traité;21/03/2023;45 RUE JEAN PIERRE TIMBAUD, 78300 POISSY;48,9345369;2,042152
2181;2769;022X.121000-Suppression;BBCSO/CO/TOURS;151 à 200 km;Archivé;01/09/2021;1 avenue John Kennedy, 86000 POITIERS;46,5891041;0,3606109
2185;2370;022X.121000;BBCSO/CO/ORLS;151 à 200 km;Traité;06/09/2021;1 avenue John Kennedy, 86000 POITIERS;46,5891041;0,3606109
2186;3778;D01X.POLECL;TLR/TLR;0 à 50 km;Traité;01/09/2023;30 route de Longjumeau, 91380 CHILLY MAZARIN;48,7079163;2,2970932
2187;712;548X.F2257C.17;BYES AX;151 à 200 km;Archivé;12/06/2017;8 avenue GEORGES SAND, 87190 MAGNAC LAVAL;46,1593;1,1536
2188;810;570X.VS1703;TP RF/CSO;51 à 100 km;Archivé;10/01/2018;1 boulevard des Apprentis, centre technique au rond point, 44600 ST NAZAIRE;47,28333;-2,2
2189;297;570X.SO1603;TP RF/CSO;0 à 50 km;Archivé;13/01/2017;Rue Armagnac, 33800 Bordeaux;44,8212986;-0,5517018
2190;614;Z41X.PC0084;CPI/CPI;Zone IDF 0 à 50 km;Archivé;01/09/2017;105 à 117 Quai du Président ROOSEVELT, 5 Rue Rouget de LISLE, 92130 ISSY LES MOULINEAUX;48,82104;2,27718
2191;2326;570X.VS2003;TP RF/VSL FR;101 à 150 km;Archivé;25/01/2021;Avenue Pierre NUGUES , 71100 CHALON SUR SAONE;46,7382;4,8403
2193;4073;020X.623030;BBSE/HR/HR RAAU;0 à 50 km;Traité;08/01/2024;72 rue aime pinel  , 38230 PONT DE CHERUY;45,7506773;5,1718842
2194;2150;024X.PAM23A;BBGO/NormPIC/Amiens;101 à 150 km;Traité;21/09/2023;Rue Bernard Risbourg, 80480 PONT DE METZ;49,8751694;2,2610227
2195;1268;570X.VS1803;TP RF/SEP TPRF;101 à 150 km;Archivé;22/08/2018;RN 106, 48400 CASSAGNAS;44,2696;3,7426
2197;791;024X.BCA803;BBGO/NormPIC/Caen;51 à 100 km;Archivé;02/08/2018;Rue de Gefosse, 14130 PONT L EVEQUE;49,2781092;0,1814924
2199;778;570X.VS1706;TP RF/VSL FR;51 à 100 km;Archivé;04/09/2017;Route du Pont Lorois, 56550 BELZ;47,6758186;-3,1959218
2201;2088;024X.QUI PAM20A;BBGO/NormPIC/Amiens;101 à 150 km;Archivé;06/04/2020;Rue Salvatore Allende , Appartement 006 BAT FURETS : Bureau CDT, Bureau Relation Locataire et salle de réunion, 60700 PONT STE MAXENCE;41,2892;-89,36648
2202;3188;848X.4D6035;BYES;0 à 50 km;Traité;25/05/2022;Pont Daydé, 92100 BOULOGNE BILLANCOURT;48,8237967;2,2371398
2203;4005;570X.VS2307;TP RF/TPRF ONE;101 à 150 km;Traité;08/01/2024;Rue du Général de Gaulle, Pont Suspendu de La Croix-Saint-Ouen, 60880 LE MEUX;43,20795;6,56696
2204;1198;B09X.PS0543;HAS/HAS NEUF;Zone IDF 0 à 50 km;Archivé;17/09/2018;AVENUE DES JONQUILLES, AVENUE DU CHATEAU, 77340 PONTAULT COMBAULT;48,7981;2,6068
2207;1273;BZNX.425066;HAS/HAS REHA;51 à 100 km;Archivé;25/06/2018;HAUTS DE MARCOULLE, 95300 PONTOISE;49,1013;2,1324
2208;1948;570X.VS1905;TP RF/VSL FR;0 à 50 km;Archivé;04/11/2019;Quai des Mariniers, 44470 MAUVES SUR LOIRE;47,2930211;-1,3893042
2209;763;570X.VS1607;TP RF/VSL FR;0 à 50 km;Archivé;09/01/2017;rue des ponts, 44470 THOUARE SUR LOIRE;47,2663827;-1,4411387
2210;2426;020X.690010;BBSE/HR/HR PALR;51 à 100 km;Traité;01/03/2021;10 rue jules crétinon , 13110 PORT DE BOUC;43,4094203;4,9902333
2216;1702;833X.ETD 370618;BYES T&D;101 à 150 km;Archivé;14/05/2019;VOIE DE PRECY, 60270 GOUVIEUX;49,187;2,4144
2217;2350;833X.548XF2247R.20;BYES T&D;0 à 50 km;Traité;01/12/2020;11 avenue jean Zay, 45000 ORLEANS;47,9045949;1,9173268
2218;2346;833X.548XF2226R.20;BYES T&D;0 à 50 km;Archivé;30/11/2020;3 Rue du Grenier à Sel , 45000 ORLEANS;47,9025254;1,9011928
2220;1897;788x.ETD370617;BYES AX;101 à 150 km;Archivé;23/09/2019;Rue de creuse, 18300 SANCERRE;47,2301;2,8591
2221;1613;833X.370555;BYES T&D;101 à 150 km;Archivé;18/02/2019;D41 route d'Evrecy, Chicheboville, 14370 BELLENGREVILLE;49,0916;-0,193
2223;3332;B08X.PR0231;HAR/HAR/HAR;Zone IDF 0 à 50 km;Traité;01/02/2024;161 avenue de France, 75013 PARIS 13;48,833243;2,373839
2224;3412;B08X.PR0248;HAR/HAR/HAR;0 à 50 km;Traité;02/01/2024;Rue des 15 arpents, 94310 ORLY;48,7479;2,3925
2225;3411;B08X.PR0249;HAR/HAR/HAR;0 à 50 km;Traité;18/12/2023;Rue des 15 arpents, 94310 ORLY;48,7479;2,3925
2226;1568;570X.VL1901;TP RF/CSO;0 à 50 km;Archivé;06/05/2019;rue du Moulin des Marais, 44300 NANTES;47,2173;-1,5534
2227;2091;570X.VL2002;TP RF/CSO;51 à 100 km;Traité;05/10/2020;Dernier rond point D 192 direction La Baule - suivre la piste, 44350 GUERANDE;20,92472;-102,68667
2231;2767;G06X.196100;BBSE/HR/HR PALR;0 à 50 km;Traité;01/08/2021;Rue de Lyon, 13015 MARSEILLE;43,3414917;5,3603593
2232;3891;B08X.PRORLY;HAR/HAR/HAR;0 à 50 km;Traité;15/12/2023;5-21 rue des quinze Arpents, 94310 ORLY;48,7464744;2,3837523
2235;2885;B09X.PS0629;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;04/09/2023;avenue des coupilliers , 95550 BESSANCOURT;49,0376;2,2094
2238;2495;B09X.PS0637;HAS/HAS NEUF;0 à 50 km;Traité;15/02/2023;6 Boulevard Oscar Thevenin, 95220 HERBLAY;48,9903792;2,1627865
2239;3794;B09X.PS0653;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;01/01/2024;Rue Louis Lumière , 75020 PARIS 20;-5,09844;-42,73891
2241;1031;022X.427190;BBCSO/SO/TLSE;51 à 100 km;Archivé;14/05/2018;1 rue pujos , 31600 MURET;43,4595;1,2453
2242;1500;B33X.PR0197;HAR/HAR/HAR;0 à 50 km;Archivé;09/09/2019;Rue des Rosiers, ZAC des Bergères, 92800 PUTEAUX;48,8834;2,2389
2244;800;B08X.PR0171;HAR/HAR/HAR;0 à 50 km;Archivé;11/12/2017;11-1 rue Voltaire, 92062 PUTEAUX;48,8801929;2,2426275
2245;68;PR0162;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;10/04/2017;15 rue Voltaire, 92800 Puteaux;48,8801929;2,2426275
2249;1762;G07X.453133;BBSE/SEP SE;101 à 150 km;Archivé;23/09/2019;Avenue d'Obernkirchen, 72200 LA FLECHE;47,7014885;-0,0547162
2252;3293;570X.NO2210;TP RF/TPRF ONE;0 à 50 km;Traité;03/04/2023;écluse de Quesnoy (rive droite), accès par route M108 entre Quesnoy et Wambrechies, 59890 QUESNOY SUR DEULE;9;39,5
2253;2991;024X.BBR22B;BBGO/OUEST/Brest;51 à 100 km;Traité;06/06/2022;2 rue de l'université, 29000 QUIMPER;47,9807022;-4,0973196
2254;2560;024X.BBR21E;BBGO/OUEST/Brest;101 à 150 km;Traité;29/11/2021;57 avenue de la France Libre, 29000 QUIMPER;48,0056343;-4,0976875
2255;1875;024X.BBR21F;BBGO/OUEST/Brest;101 à 150 km;Traité;08/11/2021;21 rue de pont l’Abbé, 29000 QUIMPER;47,9908268;-4,1137023
2257;3055;B09X.PS0620;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;14/07/2022;9 rue de la Providence, 78120 RAMBOUILLET;48,6507152;1,8192445
2262;1224;EXTX.931665;EOLE 3 GC TUN;Zone IDF 0 à 50 km;Archivé;02/05/2018;Quai du Président Paul Doumer, 92400 COURBEVOIE;48,8922674;2,2589652
2264;1372;EXTX.931455;EOLE 3 GC TUN;Zone IDF 0 à 50 km;Traité;01/01/2017;Rond point Porte Maillot, 75017 PARIS 17;46,055;29,28889
2265;1374;EXTX.931560;EOLE 3 GC TUN;Zone IDF 0 à 50 km;Traité;01/01/2018;Place des 3 freres Enghels, 92400 COURBEVOIE;48,8967;2,2567
2266;931;EXTX.931460;EOLE 3 GC TUN;Zone IDF 0 à 50 km;Traité;06/02/2017;44 avenue Gambetta, 92400 COURBEVOIE;48,8936454;2,2483085
2267;1373;EXTX.931510;EOLE 3 GC TUN;Zone IDF 0 à 50 km;Traité;01/01/2018;Place du Général Gouraud, 92200 NEUILLY SUR SEINE;48,886201;2,2613428
2268;2876;833X.370641;BYES T&D;201 à 250 km;Archivé;30/11/2021;rue de Paris, 02650 CREZANCY;49,0495942;3,510025
2269;3092;833X.370707;BYES T&D;151 à 200 km;Traité;03/01/2022;Poste de Beautor, Chemin latéral, 02700 TERGNIER;49,6099;3,3043
2270;3228;921X.ADD801;BYES;151 à 200 km;Traité;17/07/2022;rue GUTENBERG, 37420 AVOINE;47,2133498;0,1728082
2271;2854;333X.090143;TP RF/CSO;0 à 50 km;Traité;02/11/2020;Route de la centrale,  CNPE de St LAURENT des Eaux  , 41220 ST LAURENT NOUAN;47,71667;1,6
2272;3352;570X..BLANZY;TP RF/SE;151 à 200 km;Traité;31/10/2022;16 rue de la gare, 71450 BLANZY;46,7020575;4,4003744
2274;1856;570X.VS1904;TP RF/VSL FR;51 à 100 km;Archivé;02/09/2019;D194, 56600 LANESTER;47,7639726;-3,3444489
2275;2458;570X.VL2003;TP RF/CSO;151 à 200 km;Traité;20/02/2021;RD338 Giratoire St Saturnin, 72650 ST SATURNIN;48,0969;0,1553
2276;3409;570X.VS2207;TP RF/VSL FR;151 à 200 km;Traité;02/01/2023;RD769 A pont de dallet , 63111 DALLET;45,7704;3,2391
2278;3853;B09X.SD517100;HAS/HAS NEUF;0 à 50 km;Traité;10/07/2023;13 Rue Joséphine Baker, 93000 BOBIGNY;48,9102013;2,4251448
2279;1423;B36X.225157;HAS/HAS REHA;0 à 50 km;Traité;04/10/2018;20 RUE MATHURIN MOREAU , 75019 PARIS 19;48,8817;2,3822
2280;3565;833X.370741;BYES T&D;0 à 50 km;Traité;01/02/2023;Rue Raymond Martin, 13480 CABRIES;43,4413;5,3788
2283;371;517100;BBCSO/SO/REOL;0 à 50 km;Archivé;13/03/2017;9 rue Sainte Catherine, 33000 Bordeaux;44,8416058;-0,5745453
2284;2418;024X.PAM20C;BBGO/NormPIC/Amiens;101 à 150 km;Perdu;01/01/2021;8 RUE MARIVAUX APPT 679, 80080 AMIENS;49,9120122;2,3244767
2287;1789;022X.120000;BBCSO/CO/ORLS;101 à 150 km;Traité;04/05/2020;Rue anne de bretagne, avenue luynes, 37000 TOURS;47,3833;0,6833
2288;1116;024X.BPN803;BBGO/NormPIC/Réha;0 à 50 km;Archivé;15/03/2018;Université de ROUEN, 1 Rue Thomas Becket, 76130 MONT ST AIGNAN;49,45694;-2,62361
2290;3266;027X.OR2200;BBNE/Hab/Hab Est;151 à 200 km;Traité;21/11/2022;rue de Rilly la Montage, 51100 REIMS;49,25;4,0333
2291;3723;027X.IE2301;BBNE/OF/OF Nord;51 à 100 km;Traité;26/06/2023;D933, usine Bonduelle, 59173 RENESCURE;50,6911;2,4032
2292;1627;024X.BPN901;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;18/03/2019;Rue Micheline Ostemeyer, 76000 ROUEN;49,4431;1,0993
2293;3525;024X.BRE23B;BBGO/OUEST/Rennes;101 à 150 km;Traité;03/01/2023;1 place du banat, , (première tour à rénover), 35200 RENNES;48,112;-1,6743
2296;1259;024X.BRE20D;BBGO/OUEST/Rennes;101 à 150 km;Traité;01/03/2021;35 rue St Malo, 35000 RENNES;48,1172958;-1,6810353
2298;1727;024X.BRE902;BBGO/OUEST/Rennes;101 à 150 km;Traité;01/07/2019;Cité universitaire , 48.122521, -1.643347, 35700 RENNES;48,112;-1,6743
2301;1258;024X.BRE804;BBGO/OUEST/Rennes;101 à 150 km;Archivé;20/02/2019;1 Avenue du Canada, 35000 RENNES;48,0889598;-1,6819474
2303;2106;024X.BRE20B;BBGO/OUEST/Rennes;101 à 150 km;Traité;07/12/2020;9 cours de bohème, 35000 RENNES;48,090615;-1,6534323
2305;2859;024X.BRE21E;BBGO/OUEST/Rennes;101 à 150 km;Traité;01/09/2022;rue Henri Le Guilloux, 35000 RENNES;48,1207424;-1,6948572
2306;3752;024X.BRE23E;BBGO/OUEST/Rennes;51 à 100 km;Traité;19/09/2023;18 Bis Rue du Chatillon, 35000 RENNES;48,112;-1,6743
2307;2502;024X.BRE21C;BBGO/OUEST/Rennes;101 à 150 km;Traité;03/05/2021;Rue Parmentier, 35700 RENNES;48,1275959;-1,6549151
2308;3006;024X.BRE23C;BBGO/OUEST/Rennes;101 à 150 km;Traité;09/09/2022;Mail Germaine Poinso Chapuis , 35000 RENNES;48,1183776;-1,6782139
2309;2590;G11X.457081;BBGO/OUEST/Rennes;101 à 150 km;Traité;04/04/2022;Boulevard Saint-Conwoïon, 35000 RENNES;48,1059904;-1,6881354
2310;1169;024X.BBR803;BBGO/OUEST/Brest;101 à 150 km;Archivé;18/11/2019;21 rue du Pont , 29470 PLOUGASTEL DAOULAS;48,3770266;-4,3716263
2311;1527;024X.BNA902;BBGO/PDL/Nantes;0 à 50 km;Traité;06/07/2020;3 rue de Quebec, 44300 NANTES;47,2173;-1,5534
2313;270;BNA603;BBGO/PDL/Nantes;0 à 50 km;Archivé;01/08/2016;Rue Willy Brandt, 44400 Rezé;47,1814;-1,5497
2315;165;BLH604;BBGO/NormPIC/Le Havre;51 à 100 km;Archivé;17/10/2016;Rue de Rivoli, 76600 Le Havre;49,4996183;0,1480136
2316;3528;833X.370723;BYES T&D;0 à 50 km;Traité;24/01/2023;866 QUAI PIERRE DUPONT, 69270 ROCHETAILLEE SUR SAONE;45,8476757;4,8365377
2317;1905;931855;COLAS/COLAS;Zone IDF 0 à 50 km;Archivé;12/09/2019;Route du noyer du chat, 95700 ROISSY EN FRANCE;49,003402;2,504922
2318;1435;T01X.309598;BY TP/TPRP;Zone IDF 0 à 50 km;Archivé;15/11/2018;Route périphérique Sud (RD84), Tremblay en France, 95391 Roissy Charles de Gaulle Cedex;48,989612;2,560373
2319;606;222094;BZ/GCI;Zone IDF 0 à 50 km;Archivé;08/05/2017;GARE RER, 95700 Roissy En France;49,003402;2,504922
2320;1689;BZNX.221153;BZ/BAT;51 à 100 km;Archivé;03/06/2019;Avenue de Mulhouse, , 77680 ROISSY EN BRIE;48,7935075;2,6563292
2321;1282;B09X.PS0553;HAS/HAS NEUF;51 à 100 km;Archivé;19/11/2018;Avenue de Mulhouse, 77680 ROISSY EN BRIE;48,7935075;2,6563292
2323;794;S19X.822112;IEP/IEP;Zone IDF 0 à 50 km;Archivé;13/09/2017;Avenue Charles de Gaulle, ROISSY CDG - Terminal 2BBD, 95700 ROISSY EN FRANCE;48,999271;2,510879
2324;3664;Z32X.PO0226;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Traité;01/09/2023;Aéroport – Paris Charles De Gaulle – Terminal 2 A TRI Bagages, Passage au standard 3 du Tri bagages du terminal 2A , 93290 TREMBLAY EN FRANCE;44,20143;0,60275
2326;2467;B09X.PH0043;HAS/HAS NEUF;0 à 50 km;Archivé;03/05/2021;149 Rue de la République, Rue des Noyers, 93230 ROMAINVILLE;48,8854;2,4348
2327;2411;B09X.PS0601;HAS/HAS NEUF;0 à 50 km;Archivé;01/06/2021;21 rue Normandie NIEMEN, 93230 ROMAINVILLE;48,882809;2,428509
2328;2538;Z32X.PO0176;EQUIPEMENTS PUBLICS/EQUIPEMENTS PUBLICS/EQUIP PUBLIC :  Collectivités  locales;0 à 50 km;Traité;03/05/2022;85 avenue Pierre KERAUTRET, 93230 ROMAINVILLE;48,881788;2,446405
2329;2962;Z32X.PO0171;EQUIPEMENTS PUBLICS/EQUIPEMENTS PUBLICS/EQUIP PUBLIC :  Collectivités  locales;0 à 50 km;Traité;06/01/2022; 95 Avenue Pierre Kerautret, , 93230 ROMAINVILLE;48,8790133;2,4491592
2330;3189;B08X.PR0229;HAR/HAR/HAR;Zone IDF 0 à 50 km;Traité;22/08/2022;Rue Jean Jacques ROUSSEAU, 93230 ROMAINVILLE;48,8940404;2,4371583
2331;2343;020X.253010;BBSE/HN/HN RAAU;101 à 150 km;Traité;04/09/2023;7 Bis, Avenue Duchesne, 26100 ROMANS SUR ISERE;45,0457057;5,0461658
2332;3777;G07X.183020;BBSE/HN/HN PALR;201 à 250 km;Traité;17/07/2023;chemin de menton, Accès angle avenue du Danemark, Promenade Albert Camus, 06190 ROQUEBRUNE CAP MARTIN;50,00091;2,65096
2333;2012;020X.681030;BBSE/HR/HR CA;201 à 250 km;Archivé;01/11/2021;avenue de la toracca, 06104 roquebrune cap martin;43,76408;7,48207
2334;2622;B09X.PS0625;HAS/HAS NEUF;Zone IDF 0 à 50 km;Traité;01/12/2022;Rue Henri Mondor, 93110 ROSNY SOUS BOIS;48,8690977;2,4963984
2335;1704;BZNX.PH0007;HAS/HAS REHA;Zone IDF 0 à 50 km;Archivé;17/04/2019;6 Rue Paul BERT, 93110 ROSNY SOUS BOIS;48,8657745;2,4939801
2339;965;B33X.Pr0178;HAR/HAR/HAR;0 à 50 km;Archivé;05/02/2018;113 AVENUE JEAN JAURES, 93110 ROSNY SOUS BOIS;48,864849;2,487941
2342;129;PR0160;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;03/04/2017;75 avenue jean jaurès, 93110 Rosny Sous Bois;48,866777;2,486932
2343;36;222105;IEP/IEP;Zone IDF 0 à 50 km;Archivé;06/03/2017;99 avenue du Général de Gaulle, 93110 Rosny Sous Bois;48,884267;2,47257
2344;3751;027X.HR2314;BBNE/Hab/HAR Nord;0 à 50 km;Traité;01/04/2024;76, rue Descartes, 59100 ROUBAIX;50,6884822;3,1634738
2345;2149;570X.OU2202;TP RF/TPRF ONE;0 à 50 km;Traité;04/07/2022;Rue de Madagascar, 76000 ROUEN;49,437041;1,0644813
2347;98;BOF602;BBGO/NormPIC/OF industrie;0 à 50 km;Archivé;16/03/2017;Boulevard Jean Rondeaux, 76100 Rouen;49,4431;1,0993
2349;1734;024X.BGH901;BBGO/NormPIC/Grands Projets NP;0 à 50 km;Traité;01/06/2020;Cours Clémenceau, 76000 ROUEN;49,4342303;1,0897774
2350;384;024X.BR1804;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;08/10/2018;Rue de la mare aux planches, 76000 ROUEN;49,4348098;1,0788214
2351;1137;570X.OU1708;TP RF/TPRF ONE;0 à 50 km;Archivé;25/06/2018;Rue Forfait, 76100 ROUEN;49,4375956;1,0808946
2353;1733;024X.BR1904;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;06/01/2020;Rue Stendhal, En face du numéro 7, 76100 ROUEN;49,4431;1,0993
2354;1955;024X.BR1905;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;17/02/2020;RUE GIUSEPPE VERDI, 76000 ROUEN;49,4496357;1,1366769
2355;2574;570X.OU2101;TP RF/TPRF ONE;0 à 50 km;Archivé;05/07/2021;1 QUAI BAS JACQUE ANQUETIL , 76000 ROUEN;49,4431;1,0993
2356;105;024X.BR1502;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;02/09/2019;20 rue d'Amiens, Croisement avec rue de Ruissel, 76000 Rouen;49,4431;1,0993
2359;99;Q74X.740010;BBGO/NormPIC/OF industrie;0 à 50 km;Archivé;25/08/2017;Rue Eau de Robec, 76000 ROUEN;49,441612;1,1096614
2362;2688;024X.HOF22A;BBGO/NormPIC/OF industrie;0 à 50 km;Traité;08/09/2022;Rue Brisout de Barneville, 76000 ROUEN;49,4342829;1,0814526
2364;1628;024X.BOF902;BBGO/NormPIC/OF industrie;0 à 50 km;Traité;21/10/2019;4 Rue du Maulévrier, 76000 ROUEN;49,5459774;0,70458
2365;870;024X.QUI BR1704;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;05/02/2018;5/7 Route de Neufchatel, 76000 ROUEN;49,4522629;1,1023731
2367;2768;024X.HTS21E;BBGO/NormPIC/TS Normandie Picardie;0 à 50 km;Traité;15/11/2021;5 avenue du Grand Cours , CS 36028, 76000 ROUEN;49,4431;1,0993
2368;2656;024X.HTS21D;BBGO/NormPIC/TS Normandie Picardie;0 à 50 km;Archivé;15/11/2021;Côte de la Lombardie, 76000 ROUEN;49,4616249;1,1411859
2369;3767;024X.HTS23E;BBGO/NormPIC/TS Normandie Picardie;0 à 50 km;Traité;16/10/2023;1 RUE DE GERMONT, AILE EST DEVE, 76000 ROUEN;49,4431;1,0993
2371;2867;024X.HHN22B;BBGO/NormPIC/Rouen;0 à 50 km;Archivé;02/05/2022;1 rue Louis Blanc, A l'angle avec la rue Blaise Pascal, 76000 ROUEN;48,67037;4,58524
2372;1969;024X.GPN20A;BBGO/NormPIC/Grands Projets NP;0 à 50 km;Traité;04/01/2021;Avenue Jean Rondeaux, Rue Pierre FORFAIT, 76000 ROUEN;49,4431;1,0993
2373;2711;024X.HHN23B;BBGO/NormPIC/Grands Projets NP;0 à 50 km;Traité;09/10/2023;Avenue Jean Rondeau, 76000 ROUEN;49,4431;1,0993
2375;439;022X.328050;BBCSO/SO/BDX;51 à 100 km;Archivé;15/04/2019;Rue des Renards, 17200 ROYAN;45,638717;-1,0356593
2377;2515;020X.611010;BBSE/HR/HR RAAU;0 à 50 km;Archivé;27/09/2021;19 rue de la baïsse , 69100 VILLEURBANNE;45,7623918;4,8934096
2378;2512;G07X.631060;BBSE/HR/HR RAAU;151 à 200 km;Archivé;03/01/2022;1, rue Roger PRAT , 63430 PONT DU CHATEAU;45,8008;3,2501
2379;2205;020X.620010;BBSE/HR/HR RAAU;201 à 250 km;Archivé;15/10/2020;1120 avenue de la rive , 74500 PUBLIER;46,3948411;6,5493281
2381;941;B33X.PR0198;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;25/03/2019;Rue des bons raisins, 92500 RUEIL MALMAISON;48,8736768;2,1893708
2382;3057;BZNX.226280;BZ/BZ SE;0 à 50 km;Traité;10/02/2022;60 avenue Paul Doumer, 92500 RUEIL MALMAISON;48,8824849;2,1874365
2383;1077;B33X.PR0184;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;04/06/2018;Rue Pierre Brossolette, 92500 RUEIL MALMAISON;48,8810771;2,1823684
2385;940;B33X.PR0181;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;14/05/2018;Rue des bons raisins, 92500 RUEIL MALMAISON;48,8736768;2,1893708
2386;997;B33X.PR0201;HAR/HAR/HAR;Zone IDF 0 à 50 km;Archivé;01/08/2019;Rue de l'Arsenal, 92500 RUEIL MALMAISON;48,8759432;2,200569
2387;2835;B08X.PR0226;HAR/HAR/HAR;Zone IDF 0 à 50 km;Traité;15/02/2022;60 Avenue Paul Doumer, 92500 RUEIL MALMAISON;48,8824849;2,1874365
2389;436;022X.328040;BBCSO/SO/BDX;101 à 150 km;Archivé;30/07/2018;RUE DES SEGUINS, 16600 RUELLE SUR TOUVRE;45,6776446;0,2181734
2393;993;Q76X.760000-CB;BBGO/SQU;0 à 50 km;Archivé;01/01/2019;Rue Nicolas Appert, 91400 ORSAY;48,7076911;2,1800434
2394;1608;Q76X.760000-M2;BBGO/SQU;0 à 50 km;Traité;01/04/2019;rue nicolas appert, 91400 ORSAY;48,7076911;2,1800434
2395;1582;Q76X.760000-34;BBGO/SQU;0 à 50 km;Traité;01/07/2019;Rue Louis de Broglie, Rue Noetzlin, 91400 ORSAY;48,6957;2,1873
2396;1133;Q76X.760000-ID;BBGO/SQU;0 à 50 km;Traité;01/04/2019;Rue Francis PERRIN, 91190 GIF SUR YVETTE;48,7119107;2,1591787
2397;1581;Q76X.760000-M1;BBGO/SQU;0 à 50 km;Traité;01/04/2019;rue nicolas appert, 91400 ORSAY;48,7076911;2,1800434
2398;892;BZNX.223045;BZ/GCI;Zone IDF 0 à 50 km;Archivé;08/01/2018;ZAC du Moulon  , 91400 GIF SUR YVETTE;48,6957;2,1873
2399;2852;B02X.CI2182;BYMARO;0 à 50 km;Traité;01/10/2021;30 route de longjumeau, 91835 Chilly Mazarin;48,71489;2,31638
2400;3620;Z32X.PO0211;INDUSTRIE France/INDUSTRIE France/INDUSTRIE IDF;0 à 50 km;Traité;04/12/2023;"Rondpoint René Ravaud - Réau, 48° 36' 19"" N , 2° 39' 21"" E, 77550 MOISSY CRAMAYEL";48,62605;2,60125
2404;3702;027X.ON2302;BBNE/OF/OF Est;51 à 100 km;Traité;18/03/2024;rue de la Carrière, 57500 ST AVOLD;49,1027;6,7006
2411;2133;B09X.PS0586;HAS/HAS NEUF;0 à 50 km;Archivé;01/08/2020;16 Rue Martin Deleuze, 93200 ST DENIS;48,925489;2,345966
2412;3444;EXTX.451685;COLAS/COLAS;0 à 50 km;Traité;25/11/2022;18 quai de Saint Ouen, 93200 ST DENIS;48,9244551;2,3353683
2413;394;116480;BBCSO/CO/ORLS;0 à 50 km;Archivé;02/05/2017;rue de Melleray, 45560 Saint Denis En Val;47,8779844;1,9791143
2414;1427;BZNX.225188;HAS/HAS REHA;0 à 50 km;Archivé;05/11/2018;7 RUE DE LA GARENNE, 93200 ST DENIS;48,9422649;2,3846637
2415;1565;B09X.PS0562;HAS/HAS NEUF;0 à 50 km;Archivé;09/03/2020;Chemin de Crevecoeur, 93200 ST DENIS;48,9273716;2,3755827
2417;375;225164;HAS/HAS REHA;Zone IDF 0 à 50 km;Archivé;26/06/2017;2 AVENUE JEAN MOULIN, 93200 Saint Denis;48,939226;2,362141
2418;155;PC0080;CPI/CPI;Zone IDF 0 à 50 km;Archivé;06/02/2017;26 chemin du cornillon, 93210 La Plaine Saint Denis;48,9184969;2,3642248
2419;2037;B09X.PH0025;HAS/HAS REHA;0 à 50 km;Archivé;24/02/2020;12 Rue Pierre Brosselette, 93200 ST DENIS;48,9333;2,3667
2421;575;BZNX.;BZ/BZ SE;Zone IDF 0 à 50 km;Archivé;26/04/2017;8 Avenue de Saint-Rémy, 93200 Saint Denis;46,1975476;5,1677327
2422;2132;Z32X.PO0160;IEP/IEP;0 à 50 km;Archivé;07/09/2020;ZAC DU CORNILLON NORD , STADE DE FRANCE, 93216 LA PLAINE ST DENIS ;48,90851;2,36379
2423;3163;570X.ES2201;TP RF/TPRF ONE;51 à 100 km;Traité;05/09/2022;rue du Pré longue queue, 52100 ST DIZIER;48,6304509;4,9667511
